"","prop_pbo","delta_perc","prop_trt","DNN_power","comb_power","ASN","naive_power_0.03","naive_power_0.031","naive_power_0.032","naive_power_0.033","naive_power_0.034","naive_power_0.035","naive_power_0.036","naive_power_0.037","naive_power_0.038","naive_power_0.039","naive_power_0.04","naive_power_0.041","naive_power_0.042","naive_power_0.043","naive_power_0.044","naive_power_0.045","naive_power_0.046","naive_power_0.047","naive_power_0.048","naive_power_0.049","naive_power_0.05"
"1",0.17,0,0.17,0.048882,0.050058,412,0.042738,0.043343,0.045257,0.04635,0.047604,0.048953,0.050291,0.05109,0.052642,0.053599,0.054848,0.056557,0.057327,0.05809,0.059509,0.060641,0.061731,0.062952,0.063771,0.065878,0.06706
"2",0.27,0,0.27,0.05052,0.050357,403,0.044861,0.046414,0.047568,0.048902,0.050686,0.051445,0.052928,0.054703,0.055548,0.057302,0.058583,0.060114,0.061056,0.062446,0.063411,0.064771,0.065933,0.067377,0.068897,0.06971,0.071328
"3",0.37,0,0.37,0.04933,0.050052,397,0.045974,0.046624,0.047801,0.04907,0.050411,0.051931,0.052968,0.054487,0.057222,0.059591,0.060823,0.061513,0.061779,0.06274,0.064026,0.06567,0.067175,0.068174,0.069181,0.070288,0.071905
"4",0.47,0,0.47,0.048972,0.049882,395,0.042605,0.045099,0.052306,0.052306,0.052308,0.052309,0.052382,0.054442,0.056276,0.056439,0.056904,0.058509,0.064108,0.067013,0.068569,0.068569,0.068569,0.068571,0.068603,0.069226,0.07375
"5",0.27,0.9,0.386203621721768,0.873582,0.829142,241,0.827014,0.83119,0.835909,0.841152,0.846707,0.854755,0.858393,0.861579,0.864219,0.866844,0.869933,0.87331,0.873802,0.877454,0.881284,0.885571,0.8895,0.893229,0.896562,0.898726,0.900818
"6",0.27,1,0.399115135246409,0.912861,0.859132,219,0.857327,0.860678,0.864385,0.868469,0.873166,0.881247,0.884911,0.887975,0.890812,0.893052,0.895164,0.897702,0.897942,0.90087,0.904164,0.907688,0.9112,0.914714,0.917836,0.920079,0.922022
"7",0.27,1.1,0.41202664877105,0.937702,0.881557,200,0.879973,0.882401,0.885454,0.888996,0.892924,0.900466,0.90389,0.90687,0.910081,0.912116,0.913699,0.915481,0.915613,0.917659,0.920197,0.923234,0.92638,0.929494,0.932574,0.934902,0.936956
